ADATA,XPG GAMMIX D30 8GB (8GBX1) DDR4 3000MHZ RED MEMORY,2700
ADATA,XPG SPECTRIX D50 16GB (8GBX2) RGB 3200MHZ MEMORY - WHITE,6500
ADATA,XPG SPECTRIX D50 8GB (8GBX1) DDR4 3000MHZ RGB MEMORY,3730
CORSAIR, DOMINATOR PLATINUM® RGB 16GB (8GBX2) DDR4 DRAM 3600MHZ C18 MEMORY KIT - BLACK,14500
CORSAIR,VENGEANCE LPX 64GB (32GBX2) DDR4 DRAM 3600MHZ C18 MEMORY KIT - BLACK,25000
CORSAIR,VENGEANCE RGB PRO SL 32GB (16GBX2) DDR4 DRAM 3600MHZ C18 MEMORY KIT – BLACK,16200
G.SKILL,TRIDENT Z 16GB (8GBX2) DDR4 3000MHZ RGB MEMORY,7800
G.SKILL,TRIDENT Z 16GB (8GBX2) DDR4 3200MHZ RGB MEMORY,7940
G.SKILL,TRIDENT Z5 32GB (16GBX2) DDR5 5600MHZ RGB MEMORY,39500
G.SKILL,TRIDENT Z5 RGB 32GB (16GBX2) DDR5 6000MHZ MEMORY,42500
